CLUSTER,NET_SALES_SCALED,PROFIT_SCALED,SHIP_MODE_FIRST CLASS,SHIP_MODE_SAME DAY,SHIP_MODE_SECOND CLASS,SHIP_MODE_STANDARD CLASS,SEGMENT_CONSUMER,SEGMENT_CORPORATE,SEGMENT_HOME OFFICE,REGION_CENTRAL,REGION_EAST,REGION_SOUTH,REGION_WEST,CATEGORY_FURNITURE,CATEGORY_OFFICE SUPPLIES,CATEGORY_TECHNOLOGY,ORDER_DATE_2019,ORDER_DATE_2020,ORDER_DATE_2021,ORDER_DATE_2022
0,-0.8,-0.26,0.14,0.07,0.25,0.55,1.0,0.0,-0.0,0.16,0.29,0.18,0.36,0.18,0.65,0.18,0.52,0.25,0.15,0.07
1,-0.81,-0.27,0.19,0.03,0.19,0.58,0.0,1.0,-0.0,0.2,0.26,0.2,0.34,0.19,0.68,0.13,0.51,0.28,0.16,0.05
2,-0.74,-0.24,0.14,0.05,0.14,0.66,0.0,0.0,1.0,0.21,0.25,0.11,0.42,0.19,0.7,0.11,0.46,0.29,0.18,0.08
